"This tab is your Source of Truth (the Database). You only edit this tab when you are adding a completely new product to your catalog or permanently changing a price. Do not touch the ""Stock Qty"" column manually; formulas handle that.",,,,,,,,,,,,,,
SKU,Product Name,Cost Price  (Buying),Shelf Price,Break even price,Strike through price,Stock Qty,Total Asset Value,Re-Order Alert,Link,State,weight (g),,,
LOG-001,Logitech MX Master 3,"66,763","85,802","72,713","~~125,000 ~~",0,0,⚠️ LOW STOCK,https://www.logitech.com/en-us/shop/p/mx-master-3s.910-007499?sp=2&searchclick=Logitech,New,141,,Percentage on profit,18
LOG-002,Logi USB Type-C to USB Type-C Cable,,"7,021","5,950","~~20,000 ~~",0,0,⚠️ LOW STOCK,https://www.logitech.com/fr-fr/shop/p/usb-c-c-cable.956-000152?sp=1&searchclick=Logitech,New,,,,
LOG-003,C270 HD Webcam,,"7,021","5,950","~~55,000 ~~",0,0,⚠️ LOW STOCK,https://www.logitech.com/en-us/shop/p/c270-hd-webcam.960-000694?sp=5&searchclick=Logitech,New,,,,
LOG-004,MX Anywhere 3S,,"7,021","5,950","~~125,000~~",0,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/mx-anywhere-3s.910-006929,New,,,,
LOG-005,POP Mouse,,"7,021","5,950","~~45,000 ~~",0,,⚠️ LOW STOCK,https://www.logitech.com/fr-fr/shop/p/pop-wireless-mouse.910-007411?sp=4&searchclick=Logitech,New,,,,
LOG-006,Signature M650,,"7,021","5,950","~~70,000 ~~",0,,⚠️ LOW STOCK,https://www.logitech.com/fr-fr/shop/p/m650-signature-wireless-mouse?sp=1&searchclick=Logitech,New,,,,
LOG-007,Pebble Mouse 2 M350s,"16,686","26,710","22,636","~~40,000 ~~",1,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/pebble-2-m350s-wireless-mouse.910-007013,New,76,,,
LOG-008,G413 TKL SE Mechanical Gaming Keyboard,"53,409","70,044","59,359","~~110,000 ~~",1,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/g413-tkl-se-gaming-keyboard,New,650,,,
LOG-009,G213 Prodigy,,"7,021","5,950","~~125,000 ~~",0,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/g213-rgb-gaming-keyboard,New,1000,,,
LOG-010,G703 Mouse,,"7,021","5,950","~~129,900 ~~",0,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/g703-hero-wireless-gaming-mouse.910-005640,New,,,,
LOG-011,G502 LIGHTSPEED,,"7,021","5,950","~~195,000 ~~",0,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/g502-lightspeed-wireless-gaming-mouse.910-005567,New,,,,
LOG-012,G502 X PLUS,,"7,021","5,950","~~195,000 FCFA~~",0,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/g502-x-plus-wireless-lightforce.910-006162,New,,,,
LOG-013,Signature Slim Solar+ ,,"7,021","5,950","~~135,000 ~~",0,,⚠️ LOW STOCK,https://www.logitech.com/en-us/shop/p/signature-slim-solar-plus.920-013755,New,,,,
LOG-014,MX Master 4,,"7,021","5,950","~~160,000 ~~",0,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/mx-master-4.910-007562,New,150,,,
LOG-015,Pebble Keys 2 K380s,"26,701","38,529","32,651","~~75,000 ~~",2,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/pebble-keys-2,New,415,,,
LOG-016,POP Icon Keys,,"7,021","5,950","~~84,000 ~~",0,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/pop-icon-keys.920-013071,New,,,,
LOG-017,MX Keys Mini ,,"7,021","5,950","~~155,000 ~~",0,,⚠️ LOW STOCK,MX Keys Mini Wireless Keyboard | Logitech,New,,,,
LOG-018,Lift ,"40,055","54,286","46,005","~~100,000 ~~",2,,⚠️ LOW STOCK,Lift Vertical Ergonomic Mouse | Logitech,New,125,,,
LOG-019,MX Keys S Keyboard,,"7,021","5,950","~~156,000 ~~",0,,⚠️ LOW STOCK,Buy MX Keys S Keyboard - Full-Size or Mini | Logitech,New,,,,
LOG-020,MX Mechanical,,"7,021","5,950","~~220,000 ~~",0,,⚠️ LOW STOCK,MX Mechanical Wireless Keyboard | Logitech,New,,,,
LOG-021,MX Mechanical Mini,,"7,021","5,950","~~199,000 ~~",0,,⚠️ LOW STOCK,https://www.logitech.com/en-eu/shop/p/mx-mechanical-mini?sp=3&searchclick=Logitech,New,,,,
LOG-022,MX Mini Keys S,,"7,021","5,950","~~155,000 ~~",0,,⚠️ LOW STOCK,,New,1680,,,
LOG-023,G502,"33,378","46,407","39,328",,1,,⚠️ LOW STOCK,,New,130,,,
LOG-024,LOGITECH G KEYBOARD + MOUSE SLEEVE - Noir,,"7,021","5,950",,1,,⚠️ LOW STOCK,,New,,,,
LOG-025,Tablet Stand - Gris,,"7,021","5,950",,2,,⚠️ LOW STOCK,,New,,,,
LOG-026,MX Master Key mini ,"60,000","75,461","63,950",,0,,⚠️ LOW STOCK,,Second hand,,,,
,,,"7,021","5,950",,0,,⚠️ LOW STOCK,,New,,,,
,,,"7,021","5,950",,0,,⚠️ LOW STOCK,,New,,,,
,,,"7,021","5,950",,0,,⚠️ LOW STOCK,,New,,,,
,,,"7,021","5,950",,0,,⚠️ LOW STOCK,,New,,,,
,,,"7,021","5,950",,0,,⚠️ LOW STOCK,,New,,,,
